Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2011/12;SF078;Indologie;10;14;24
WS 2011/12;SF203;Industriedesign/Produktgestaltung;287;264;551
WS 2011/12;SF079;Informatik;11190;1795;12985
WS 2011/12;SF123;Ingenieurinformatik/Technische Informatik;1668;205;1873
WS 2011/12;SF242;Innenarchitektur;81;542;623
WS 2011/12;SF261;Innere Verwaltung;343;514;857
WS 2011/12;SF080;Instrumentalmusik;580;635;1215
WS 2011/12;SF072;Interdisz. Studien (Schwerp. Ingenieurwissensch.);2595;725;3320
WS 2011/12;SF049;Interdisz. Studien (Schwerp. Naturwissenschaften);421;377;798
WS 2011/12;SF030;Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw);781;983;1764
WS 2011/12;SF004;Interdisz.Studien (Schwerpkt.Sprach-u.Kulturwiss.);769;2703;3472
WS 2011/12;SF040;Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.);54;120;174
WS 2011/12;SF182;Internationale Betriebswirtschaft/Management;3616;4881;8497
WS 2011/12;SF081;Iranistik;12;16;28
WS 2011/12;SF292;Islamische Studien;-;-;-
WS 2011/12;SF083;Islamwissenschaft;106;227;333
WS 2011/12;SF084;Italienisch;46;247;293
WS 2011/12;SF085;Japanologie;217;362;579
WS 2011/12;SF164;Jazz und Popularmusik;162;58;220
WS 2011/12;SF252;Journalistik (ab 2008 zu SF303);-;-;-
WS 2011/12;SF168;Justizvollzug;21;18;39
WS 2011/12;SF280;Kartografie;103;68;171
WS 2011/12;SF545;Kath. Religionspäd., kirchliche Bildungsarbeit;29;80;109
WS 2011/12;SF086;Katholische Theologie, - Religionslehre;307;460;767
